,Origin,Destination,distance
142,20426.0,20721.0,1135.987
143,22209.0,20721.0,2072.779
144,21612.0,20721.0,1323.6000000000001
145,21314.0,20721.0,935.0480000000002
146,21614.0,20721.0,1231.133
147,22509.0,20721.0,2983.8289999999997
148,21910.0,20721.0,1629.235
149,21316.0,20721.0,891.7370000000001
150,20719.0,20721.0,912.132
151,22206.0,20721.0,2593.427000000001
152,22210.0,20721.0,2477.4069999999997
153,21019.0,20721.0,1054.298
154,22812.0,20721.0,3463.767
155,21908.0,20721.0,2581.6810000000005
156,21611.0,20721.0,1730.8529999999998
157,22810.0,20721.0,2968.7909999999997
158,21313.0,20721.0,1328.5860000000002
159,22508.0,20721.0,2531.866
160,22811.0,20721.0,2971.201
161,21017.0,20721.0,723.4360000000001
162,22507.0,20721.0,2603.015
163,21613.0,20721.0,1284.761
164,21911.0,20721.0,1659.1190000000001
165,21313.0,21016.0,435.445
166,22209.0,21016.0,2259.4
167,21019.0,21016.0,1770.3339999999998
168,22809.0,21016.0,2814.604999999999
169,21017.0,21016.0,418.119
170,22207.0,21016.0,1878.7510000000002
171,20720.0,21016.0,827.3989999999999
172,21614.0,21016.0,1922.304999999999
173,21612.0,21016.0,1067.343
174,20719.0,21016.0,515.599
175,21909.0,21016.0,1356.7330000000004
176,22507.0,21016.0,2537.5619999999994
177,21611.0,21016.0,840.5619999999999
178,21613.0,21016.0,1489.7200000000003
179,22506.0,21016.0,2362.263999999999
180,21910.0,21016.0,1499.252
181,23113.0,21016.0,3406.105
182,21912.0,21016.0,2542.531
183,22509.0,21016.0,3135.265
184,21018.0,21016.0,1099.3690000000001
185,21314.0,21016.0,824.6679999999999
186,22206.0,21016.0,1703.1360000000004
187,22508.0,21016.0,2704.439999999999
188,22811.0,21016.0,3143.775
189,21908.0,21016.0,1614.615
190,23114.0,21016.0,3576.9199999999996
191,22810.0,21016.0,3029.1069999999995
192,22812.0,21016.0,3615.203
193,20425.0,21016.0,1213.8479999999997
194,21911.0,21016.0,1731.4420000000005
195,20721.0,21016.0,1015.51
196,21316.0,21016.0,1582.9089999999997
197,21315.0,21016.0,1189.719
198,22210.0,21016.0,2628.8429999999994
199,22505.0,21016.0,2135.308
200,22208.0,21016.0,2056.2160000000003
201,20426.0,21016.0,1340.5339999999999
202,22809.0,21017.0,2658.3569999999995
